,Publication ID,studies,comments
0,https://dx.doi.org/10.1109/TVCG.2014.2346420,False,True
1,https://dx.doi.org/10.1109/TVCG.2018.2865049,True,False
2,https://dx.doi.org/10.1109/TVCG.2018.2865232,True,False
3,https://dx.doi.org/10.1109/TVCG.2014.2329308,False,True
4,https://dx.doi.org/10.1109/TVCG.2016.2642109,True,False
5,https://dx.doi.org/10.1109/TVCG.2009.176,False,True
6,https://dx.doi.org/10.1109/TVCG.2022.3209354,True,False
7,https://dx.doi.org/10.1109/VAST.2009.5332595,False,True
8,https://dx.doi.org/10.1109/TVCG.2022.3209475,True,True
9,https://dx.doi.org/10.1109/TVCG.2017.2745941,True,True
10,https://dx.doi.org/10.1109/INFVIS.2002.1173148,False,True
11,https://dx.doi.org/10.1109/TVCG.2021.3085327,True,False
12,https://dx.doi.org/10.1109/TVCG.2020.3030437,True,False
13,https://dx.doi.org/10.1109/TVCG.2012.225,True,False
14,https://dx.doi.org/10.1109/TVCG.2021.3068337,True,True
15,https://dx.doi.org/10.1109/TVCG.2019.2934557,False,True
16,https://dx.doi.org/10.1109/TVCG.2014.2346983,True,False
17,https://dx.doi.org/10.1109/TVCG.2015.2467872,True,True
18,https://dx.doi.org/10.1109/TVCG.2020.2968911,False,True
19,https://dx.doi.org/10.1109/TVCG.2014.2337337,False,True
20,https://dx.doi.org/10.1109/TVCG.2012.189,True,True
21,https://dx.doi.org/10.1109/TVCG.2013.151,True,True
22,https://dx.doi.org/10.1109/TVCG.2019.2934337,False,True
23,https://dx.doi.org/10.1109/MCG.2016.100,True,False
24,https://dx.doi.org/10.1109/TVCG.2019.2934669,False,True
25,https://dx.doi.org/10.1109/TVCG.2010.194,True,False
26,https://dx.doi.org/10.1109/TVCG.2013.233,False,True
27,https://dx.doi.org/10.1109/TVCG.2013.191,False,True
28,https://dx.doi.org/10.1109/TVCG.2015.2467035,True,False
29,https://dx.doi.org/10.1109/TVCG.2019.2906900,False,True
30,https://dx.doi.org/10.1109/TVCG.2022.3163727,True,False
31,https://dx.doi.org/10.1109/TVCG.2022.3144975,True,False
32,https://dx.doi.org/10.1109/TVCG.2011.183,True,False
33,https://dx.doi.org/10.1109/TVCG.2022.3209477,False,True
34,https://dx.doi.org/10.1109/TVCG.2019.2941208,True,False
35,https://dx.doi.org/10.1109/TVCG.2020.3030388,True,True
36,https://dx.doi.org/10.1109/TVCG.2018.2835485,True,True
37,https://dx.doi.org/10.1109/TVCG.2020.3030404,True,False
38,https://dx.doi.org/10.1109/TVCG.2020.3030358,True,True
39,https://dx.doi.org/10.1109/TVCG.2022.3209484,False,True
40,https://dx.doi.org/10.1109/TVCG.2012.255,True,True
41,https://dx.doi.org/10.1109/TVCG.2018.2865192,True,True
42,https://dx.doi.org/10.1109/TVCG.2021.3114775,False,True
43,https://dx.doi.org/10.1109/TVCG.2022.3209480,False,True
44,https://dx.doi.org/10.1109/TVCG.2011.186,True,True
45,https://dx.doi.org/10.1109/TVCG.2011.193,True,False
46,https://dx.doi.org/10.1109/TVCG.2020.3004137,True,False
47,https://dx.doi.org/10.1109/TVCG.2021.3114822,False,True
48,https://dx.doi.org/10.1109/TVCG.2017.2744118,True,True
49,https://dx.doi.org/10.1109/TVCG.2013.180,True,False
50,https://dx.doi.org/10.1109/TVCG.2013.76,False,True
51,https://dx.doi.org/10.1109/TVCG.2021.3114789,True,False
52,https://dx.doi.org/10.1109/TVCG.2019.2934784,False,True
53,https://dx.doi.org/10.1109/TVCG.2018.2864907,False,True
54,https://dx.doi.org/10.1109/TVCG.2021.3092680,True,False
55,https://dx.doi.org/10.1109/TVCG.2011.160,False,True
