"terms","PA1","PA3","PA2","PA4"
"answer",0.656334828497211,-0.0482461906769889,0.0966195901522352,0.24934887744413
"clearData",0.569756210874423,0.115267420697751,0.239390289099196,-0.151597756328577
"clearRepresent",0.672951936699355,-0.0234512491049778,0.232592228450814,-0.150698293247356
"complex",0.505960882766705,0.30580170336779,-0.148200480229298,0.0449628166003878
"confid",0.888537151706853,-0.200798503168663,0.0210244049597372,0.180129553854656
"confus",0.530353026786392,0.446048937595536,-0.191743269926272,-0.0208641964784133
"crowd",-0.256516915201356,0.989694002225431,-0.0227371382998333,0.0737850961490572
"deciph",0.525394453432183,0.271230738143779,-0.0550967411727346,0.116408487822088
"distinguish",0.168444122473182,0.292655203931374,0.231836263481976,0.0477907145328608
"distract",0.0271315912876066,0.719393704120982,0.0078691469456228,-0.0128803657429074
"effect",0.452771498770162,0.139367692012088,0.278023969685399,-0.0305713056432615
"find",0.148463841552817,0.217605155670842,0.350575433852924,0.447840988849137
"identifi",0.616474879223253,0.0530988146002423,0.113107081264868,0.134415088070381
"inform",0.497053915075543,0.108735017330383,0.218778303709188,0.125718507255747
"lost",0.410455979600159,0.385763869277946,-0.0169794132383186,0.0521470478767422
"meanElem",0.82276012683044,-0.114892904746242,-0.0297412836508222,-0.0787364626938718
"meanOveral",0.800530885412065,-0.0869656489956803,-0.049876643589819,0.164052956636418
"messi",-0.00491238326057436,0.819323128460953,0.0422364492923264,-0.0163185417381341
"obvious",0.835255274987035,-0.0260792077812019,-0.237075815472716,0.0473547994118879
"organiz",0.356278894015249,0.308375305826577,0.240633620793995,-0.125177126657464
"read",0.826150489976,0.0796830804687787,-0.0674625113893071,0.00660805219153544
"readabl",0.715877472394521,-0.0186137390991477,0.0997928514485698,-0.00474346367153656
"represent",0.854105306257104,-0.0597447140986581,0.0257108878577634,0.0108000472881498
"see",-0.0878902329217097,-0.00273652684802964,0.850346459880369,0.164123228045429
"simpl",0.74514598168687,0.21624337273729,-0.0660533467393003,-0.0611579381115462
"understandEasi",0.856339855043469,0.0781873195474703,-0.115109534588701,-0.0687703685928512
"understandQuick",0.757331064518435,0.0424496317207913,0.0367130675343782,-0.00383849861505644
"valu",0.223346971259333,-0.122985997910913,0.511713246856419,0.460323709635358
"visibl",-0.259662722188233,0.00553731403237501,0.961027119357852,0.149484583323306
