"terms","PA1","PA2","PA3","PA4"
"answer",0.364559942700497,0.366433854142819,-0.0467241889846281,0.113067697546282
"clearData",0.833406981466652,-0.130351981543668,0.172943353564868,0.00885921278242483
"clearRepresent",0.655364135107013,0.0859113053752674,0.161626736202941,-0.0046391159650955
"complex",0.449527614735634,0.258938670004152,0.239013392607975,-0.0987034460427561
"confid",0.0751226565874917,0.750843664779902,-0.137269231702605,0.0120309224460771
"confus",0.629860529359648,0.18619569930547,0.173735718221128,-0.194974702357018
"crowd",-0.276253828841781,0.0403273695658663,0.897048844985849,0.0675220392619477
"deciph",0.749566927759648,0.103645320885966,0.143869587062352,-0.177361172464061
"distinguish",0.616441983050115,0.0628358155233746,-0.129672529853479,0.156197425533381
"distract",0.378635208201912,-0.0172856561894452,0.340663919146383,0.0225001927383434
"effect",0.603338371330135,0.0417668684925143,0.112579247090752,0.0958769132639214
"find",0.937634319900723,-0.0655384196149739,-0.133362589185801,0.0338373754177856
"identifi",0.701253990081789,0.177468822035645,-0.102114216213581,0.0569297494020147
"inform",0.816941395008227,0.0383607272902938,-0.0618070847049514,0.0480029284250238
"lost",0.452602881324727,0.246288627039762,0.168873402018348,-0.0237523677039149
"meanElem",0.252038750154733,0.481777251750713,-0.0564309273621351,0.0911549210231072
"meanOveral",-0.196423496177278,0.893180616236551,0.0149985716287776,0.00882276297668381
"messi",0.261923525823075,-0.12788962117806,0.681282838661253,-0.0447845157762938
"obvious",-0.112332037187169,0.792860515438704,0.121599756006749,0.0366303955882233
"organiz",0.29795329047885,-0.00782859021153331,0.494347530590894,0.128634410609009
"read",1.00306328520666,0.00356711486374563,-0.141214424902874,-0.0232151574471655
"readabl",0.761967795016291,0.0378791542211817,-0.0528613757215845,0.0819621808658095
"represent",-0.0894605184162059,0.686024895608786,0.149459296993045,0.167612005031131
"see",0.117884539207713,0.0561163292221456,0.0134757843807191,0.725983921297026
"simpl",0.699792314851468,0.0546796618758782,0.130621654703141,0.0122232555006292
"understandEasi",0.346133592163487,0.648654613102483,-0.115949974992617,-0.0818614521191573
"understandQuick",0.403868349285817,0.566218243139566,-0.039934316305519,-0.0923093190012582
"valu",0.48354681815971,-0.155791244498379,-0.0144645535121715,0.219463086176764
"visibl",0.0304349633620005,0.121679013264941,0.0997806718021054,0.737149899683312
