reliability_values,Subscale,A,B,C,D,E,F,Full_survey
G6(smc),dataFeat,0.767207942966387,0.701868202484888,0.717127105235852,0.75248833443927,0.689103095568123,0.6986095799403,0.783855197290064
G6(smc),dataRead,0.677842801368791,0.655909618415567,0.70703383592577,0.690468214467171,0.737332606744141,0.762070047596863,0.803468025768687
G6(smc),layout,0.688386659493853,0.787554994477603,0.778498462530326,0.670379849181246,0.669102427404322,0.764185369601677,0.840451497447993
G6(smc),understand,0.741039188640176,0.673967512432974,0.731576867366389,0.744697508432786,0.756327135003858,0.752580118132287,0.829184243233033
S/N,dataFeat,6.59135842298613,4.70844242938769,5.07031333513784,6.08042722135566,4.43300068765477,4.63591098749535,7.25305616847971
S/N,dataRead,3.12098064291937,2.8459584907242,3.4672167761138,2.98800967018221,4.05568594630914,4.20976955709635,5.63500792762386
S/N,layout,3.26194273331452,5.45086291590986,5.12533160782168,2.95745998258745,3.00966284407152,4.25932945068052,7.70759266021585
S/N,understand,4.28941099150741,2.95022739018149,4.02041905697454,4.33940122026183,4.64065683843487,4.55075288511917,7.21537352272118
ase,dataFeat,0.0155346162023834,0.0206681798162571,0.0194488473788609,0.0160742628846455,0.02152085378073,0.0207650993274391,0.0057823528537953
ase,dataRead,0.0255231073615332,0.026558104538613,0.0222290314342896,0.0261687957887463,0.019989523922953,0.0180142682061929,0.0062244637271375
ase,layout,0.0239656294388005,0.0160196992951047,0.0166995303829363,0.0248487044320794,0.0251227957472447,0.0207351930485786,0.0047427723103897
ase,understand,0.0193811537744294,0.0259372159662602,0.0208404578911508,0.0183706721858771,0.0178957877609238,0.0181717759782914,0.0050047408984053
average_r,dataFeat,0.767207942966387,0.701868202484887,0.717127105235852,0.75248833443927,0.689103095568123,0.6986095799403,0.783855197290064
average_r,dataRead,0.50988245593125,0.486824956974958,0.536121935624566,0.498998805072285,0.574811007345174,0.583897935122324,0.65257704160261
average_r,layout,0.520915452637481,0.645006666200666,0.63078429966943,0.49642968500528,0.500803942277815,0.586738689794721,0.719824978853881
average_r,understand,0.588444113866652,0.495817587584918,0.572675081693363,0.591247308878833,0.607363599303522,0.602688626466332,0.70632498230952
mean,dataFeat,1.67832167832168,1.86062717770035,1.58885017421603,0.0438311688311688,-0.158450704225352,0.433447098976109,0.897134670487106
mean,dataRead,1.98900462962963,2.13078703703704,2.09291521486643,-0.228694714131607,0.617747440273038,0.595563139931741,1.17861205915813
mean,layout,2.1412037037037,1.42476851851852,1.63298490127758,-0.7319309600863,0.474971558589306,-1.32992036405006,0.579635949943117
mean,understand,2.52430555555556,2.49305555555556,2.45121951219512,1.10140237324703,0.401826484018265,1.20022753128555,1.68345664959211
median_r,dataFeat,0.767207942966387,0.701868202484887,0.717127105235852,0.75248833443927,0.689103095568124,0.6986095799403,0.783855197290064
median_r,dataRead,0.524635301772713,0.479529598616717,0.553070416116508,0.429516266248825,0.540671784431027,0.505480031654317,0.60192545511555
median_r,layout,0.501826969080806,0.647168218944801,0.604433187809807,0.473263951636448,0.510385352277672,0.542804210084964,0.722754009186274
median_r,understand,0.589239640661269,0.44877131822746,0.569987120432714,0.603045836855416,0.59848921416126,0.597636794715872,0.698400437423554
omega_tot,dataFeat,0.870680192964971,0.825861335880449,0.8397988873048,0.857778881991913,0.809349648114906,0.821699346534395,0.878688473101207
omega_tot,dataRead,0.756860756913316,0.740816117560929,0.783306910273018,0.766510181292124,0.805081282081982,0.820281052289612,0.854313640135096
omega_tot,layout,0.76765656872737,0.845334359707988,0.838255003864781,0.751041636433987,0.752325285586056,0.822418968640325,0.885986462709577
omega_tot,understand,0.811016834461935,0.754525294486663,0.803473243287136,0.814734662314534,0.819562903514408,0.821062843371747,0.878572979266381
raw_alpha,dataFeat,0.86802160511579,0.824136603981113,0.83524389857361,0.858630013192991,0.815470387307608,0.82155206732393,0.878679438331112
raw_alpha,dataRead,0.736097259868655,0.739198957365417,0.772579161206579,0.741152754263203,0.802097170464021,0.808584854513786,0.85012794060357
raw_alpha,layout,0.760054624932612,0.843869813302275,0.834369426536314,0.747842122393946,0.750566110080543,0.800987503063095,0.885222859024026
raw_alpha,understand,0.809384485974472,0.744984760321419,0.795664039878193,0.812497332491308,0.820628535301383,0.817896057490931,0.874457598195565
sd,dataFeat,1.28473574920401,1.03846492260575,1.2995215910425,1.6611662235362,1.57651684578773,1.44232999571569,1.62438867706284
sd,dataRead,0.911796614906458,0.746306739418173,0.8079347053595,1.44456864068564,1.36536710400141,1.27182889572715,1.45868376299358
sd,layout,0.909858987777845,1.35862052586398,1.20186168823299,1.37651982523785,1.38421027972754,1.2718365541314,1.78934143968503
sd,understand,0.575156310286255,0.539523814649318,0.656198008940358,1.3323731026571,1.51826995464075,1.21378746448257,1.34225593344148
std.alpha,dataFeat,0.868271270531495,0.824820866222301,0.835263857927806,0.858765584513905,0.815939651494566,0.822566395704484,0.87883276454373
std.alpha,dataRead,0.757339311525719,0.739986793302156,0.776146972462362,0.749248351257305,0.802202903696967,0.808052930356991,0.849284279550496
std.alpha,layout,0.76536521896851,0.844981979459882,0.836743532591271,0.747312669136281,0.750602472355363,0.809861692564133,0.885157696389623
std.alpha,understand,0.81094303286215,0.746850016157157,0.800813440342044,0.81271308172062,0.822715682119483,0.81984425884264,0.878276989203922
