stems,corpora presence count,all tokens,all Concepts,average density across ALL corpuses,tokens in studies,density in studies,Concepts in studies,tokens in comments,density in comments,Concepts in comments,tokens in survey,density in survey,Concepts in survey,average density across concerned corpora
messag,1,"{'message': 5, 'messages': 1}",{'TAKEAWAY': 6},0.068965517,,0,,,0,,"{'message': 5, 'messages': 1}",0.206896552,{'TAKEAWAY': 6},0.206896552
other,1,{'others': 2},{'OTHER PEOPLE': 2},0.022988506,,0,,,0,,{'others': 2},0.068965517,{'OTHER PEOPLE': 2},0.068965517
outlier,1,{'outliers': 4},{'DATA FEATURES': 4},0.045977011,,0,,,0,,{'outliers': 4},0.137931034,{'DATA FEATURES': 4},0.137931034
pattern,1,"{'pattern': 2, 'patterns': 5}",{'DATA FEATURES': 7},0.08045977,,0,,,0,,"{'pattern': 2, 'patterns': 5}",0.24137931,{'DATA FEATURES': 7},0.24137931
person,1,{'person': 1},{'OTHER PEOPLE': 1},0.011494253,,0,,,0,,{'person': 1},0.034482759,{'OTHER PEOPLE': 1},0.034482759
point,1,"{'point': 1, 'points': 1}","{'GUIDANCE': 1, 'DATA': 1}",0.022988506,,0,,,0,,"{'point': 1, 'points': 1}",0.068965517,"{'GUIDANCE': 1, 'DATA': 1}",0.068965517
properti,1,{'properties': 1},{'DATA FEATURES': 1},0.011494253,,0,,,0,,{'properties': 1},0.034482759,{'DATA FEATURES': 1},0.034482759
question,1,"{'question': 1, 'questions': 1}",{'GOAL': 2},0.022988506,,0,,,0,,"{'question': 1, 'questions': 1}",0.068965517,{'GOAL': 2},0.068965517
relationship,1,{'relationships': 3},{'DATA FEATURES': 3},0.034482759,,0,,,0,,{'relationships': 3},0.103448276,{'DATA FEATURES': 3},0.103448276
represent,1,{'representations': 1},{'VIS ELEMENTS': 1},0.011494253,,0,,,0,,{'representations': 1},0.034482759,{'VIS ELEMENTS': 1},0.034482759
select,1,{'selection': 1},{'OPERATION': 1},0.011494253,,0,,,0,,{'selection': 1},0.034482759,{'OPERATION': 1},0.034482759
similar,1,{'similar': 1},{'QUERY': 1},0.011494253,,0,,,0,,{'similar': 1},0.034482759,{'QUERY': 1},0.034482759
skill,1,{'skills': 1},{'EXPERTISE': 1},0.011494253,,0,,,0,,{'skills': 1},0.034482759,{'EXPERTISE': 1},0.034482759
stori,1,{'story': 1},{'TAKEAWAY': 1},0.011494253,,0,,,0,,{'story': 1},0.034482759,{'TAKEAWAY': 1},0.034482759
structur,1,{'structure': 1},{'ENCODINGS': 1},0.011494253,,0,,,0,,{'structure': 1},0.034482759,{'ENCODINGS': 1},0.034482759
trend,1,"{'trend': 2, 'trends': 2}",{'DATA FEATURES': 4},0.045977011,,0,,,0,,"{'trend': 2, 'trends': 2}",0.137931034,{'DATA FEATURES': 4},0.137931034
color,1,"{'color': 2, 'colors': 2}",{'ENCODINGS': 4},0.045977011,,0,,,0,,"{'color': 2, 'colors': 2}",0.137931034,{'ENCODINGS': 4},0.137931034
communic,1,"{'communicate': 2, 'communicated': 1}","{'CONVEY': 1, 'VERBALIZE': 1, 'LEARN': 1}",0.022988506,,0,,,0,,"{'communicate': 2, 'communicated': 1}",0.068965517,"{'CONVEY': 1, 'VERBALIZE': 1, 'LEARN': 1}",0.068965517
concret,1,{'concrete': 1},{'SPECIFIC': 1},0.011494253,,0,,,0,,{'concrete': 1},0.034482759,{'SPECIFIC': 1},0.034482759
convey,1,"{'convey': 2, 'conveys': 2}",{'CONVEY': 4},0.045977011,,0,,,0,,"{'convey': 2, 'conveys': 2}",0.137931034,{'CONVEY': 4},0.137931034
differenti,1,{'differentiate': 1},{'QUERY': 1},0.011494253,,0,,,0,,{'differentiate': 1},0.034482759,{'QUERY': 1},0.034482759
enough,1,{'enough': 2},{'ENOUGH': 2},0.022988506,,0,,,0,,{'enough': 2},0.068965517,{'ENOUGH': 2},0.068965517
extract,1,{'extract': 6},{'QUERY': 6},0.068965517,,0,,,0,,{'extract': 6},0.206896552,{'QUERY': 6},0.206896552
interest,1,"{'interested': 1, 'interesting': 1}","{'RELEVANT': 1, 'INFORMATIVE': 1}",0.022988506,,0,,,0,,"{'interested': 1, 'interesting': 1}",0.068965517,"{'RELEVANT': 1, 'INFORMATIVE': 1}",0.068965517
item,1,{'items': 1},{'ENCODINGS': 1},0.011494253,,0,,,0,,{'items': 1},0.034482759,{'ENCODINGS': 1},0.034482759
know,1,{'know': 4},"{'INFORMATION': 1, 'KNOW': 3}",0.045977011,,0,,,0,,{'know': 4},0.137931034,"{'INFORMATION': 1, 'KNOW': 3}",0.137931034
line,1,{'lines': 1},{'ENCODINGS': 1},0.011494253,,0,,,0,,{'lines': 1},0.034482759,{'ENCODINGS': 1},0.034482759
need,1,"{'needed': 2, 'needs': 1}",{'RELEVANT': 3},0.034482759,,0,,,0,,"{'needed': 2, 'needs': 1}",0.103448276,{'RELEVANT': 3},0.103448276
overal,1,{'overall': 2},{'OVERVIEW': 2},0.022988506,,0,,,0,,{'overall': 2},0.068965517,{'OVERVIEW': 2},0.068965517
recov,1,{'recover': 1},{'QUERY': 1},0.011494253,,0,,,0,,{'recover': 1},0.034482759,{'QUERY': 1},0.034482759
repres,1,"{'represent': 1, 'represented': 1}","{'MEANING': 1, 'SHOW': 1}",0.022988506,,0,,,0,,"{'represent': 1, 'represented': 1}",0.068965517,"{'MEANING': 1, 'SHOW': 1}",0.068965517
requir,1,"{'required': 1, 'require': 1}","{'RELEVANT': 1, 'REQUIRE': 1}",0.022988506,,0,,,0,,"{'required': 1, 'require': 1}",0.068965517,"{'RELEVANT': 1, 'REQUIRE': 1}",0.068965517
result,1,{'results': 1},{'CONCLUSION': 1},0.011494253,,0,,,0,,{'results': 1},0.034482759,{'CONCLUSION': 1},0.034482759
say,1,{'says': 1},{'CONVEY': 1},0.011494253,,0,,,0,,{'says': 1},0.034482759,{'CONVEY': 1},0.034482759
shape,1,{'shapes': 2},{'ENCODINGS': 2},0.022988506,,0,,,0,,{'shapes': 2},0.068965517,{'ENCODINGS': 2},0.068965517
suffici,1,{'sufficient': 1},{'ENOUGH': 1},0.011494253,,0,,,0,,{'sufficient': 1},0.034482759,{'ENOUGH': 1},0.034482759
verbal,1,{'verbal': 1},{'VERBALIZE': 1},0.011494253,,0,,,0,,{'verbal': 1},0.034482759,{'VERBALIZE': 1},0.034482759
annot,1,{'annotations': 1},{'REFERENCE STRUCTURES': 1},0.011494253,,0,,,0,,{'annotations': 1},0.034482759,{'REFERENCE STRUCTURES': 1},0.034482759
distort,1,{'distortion': 1},{'DISTORTION': 1},0.011494253,,0,,,0,,{'distortion': 1},0.034482759,{'DISTORTION': 1},0.034482759
eye,1,{'eyes': 1},{'READER': 1},0.011494253,,0,,,0,,{'eyes': 1},0.034482759,{'READER': 1},0.034482759
intend,1,{'intended': 1},{'DESIGNER': 1},0.011494253,,0,,,0,,{'intended': 1},0.034482759,{'DESIGNER': 1},0.034482759
label,1,{'labels': 1},{'REFERENCE STRUCTURES': 1},0.011494253,,0,,,0,,{'labels': 1},0.034482759,{'REFERENCE STRUCTURES': 1},0.034482759
mark,1,{'marks': 1},{'ENCODINGS': 1},0.011494253,,0,,,0,,{'marks': 1},0.034482759,{'ENCODINGS': 1},0.034482759
order,1,{'ordering': 1},{'ENCODINGS': 1},0.011494253,,0,,,0,,{'ordering': 1},0.034482759,{'ENCODINGS': 1},0.034482759
part,1,{'parts': 2},{'VIS ELEMENTS': 2},0.022988506,,0,,,0,,{'parts': 2},0.068965517,{'VIS ELEMENTS': 2},0.068965517
plot,1,{'plot': 1},{'VISUALIZATION': 1},0.011494253,,0,,,0,,{'plot': 1},0.034482759,{'VISUALIZATION': 1},0.034482759
scale,1,{'scale': 1},{'VIS APPEARANCE': 1},0.011494253,,0,,,0,,{'scale': 1},0.034482759,{'VIS APPEARANCE': 1},0.034482759
spatial,1,{'spatial': 1},{'ENCODINGS': 1},0.011494253,,0,,,0,,{'spatial': 1},0.034482759,{'ENCODINGS': 1},0.034482759
takeaway,1,{'takeaways': 1},{'TAKEAWAY': 1},0.011494253,,0,,,0,,{'takeaways': 1},0.034482759,{'TAKEAWAY': 1},0.034482759
variabl,1,{'variables': 1},{'ENCODINGS': 1},0.011494253,,0,,,0,,{'variables': 1},0.034482759,{'ENCODINGS': 1},0.034482759
annoy,1,{'annoyed': 1},{'ANNOYANCE': 1},0.011494253,,0,,,0,,{'annoyed': 1},0.034482759,{'ANNOYANCE': 1},0.034482759
awar,1,{'aware': 1},{'KNOW': 1},0.011494253,,0,,,0,,{'aware': 1},0.034482759,{'KNOW': 1},0.034482759
awesom,1,{'awesome': 1},{'AESTHETICS': 1},0.011494253,,0,,,0,,{'awesome': 1},0.034482759,{'AESTHETICS': 1},0.034482759
blur,1,{'blurring': 1},{'VIS APPEARANCE': 1},0.011494253,,0,,,0,,{'blurring': 1},0.034482759,{'VIS APPEARANCE': 1},0.034482759
challeng,1,{'challenging': 1},{'EASINESS': 1},0.011494253,,0,,,0,,{'challenging': 1},0.034482759,{'EASINESS': 1},0.034482759
comprehend,1,{'comprehend': 2},{'UNDERSTAND': 2},0.022988506,,0,,,0,,{'comprehend': 2},0.068965517,{'UNDERSTAND': 2},0.068965517
disori,1,{'disorienting': 1},{'GUIDANCE': 1},0.011494253,,0,,,0,,{'disorienting': 1},0.034482759,{'GUIDANCE': 1},0.034482759
drawn,1,{'drawn': 1},{'GUIDANCE': 1},0.011494253,,0,,,0,,{'drawn': 1},0.034482759,{'GUIDANCE': 1},0.034482759
imag,1,{'image': 1},{'VISUALIZATION': 1},0.011494253,,0,,,0,,{'image': 1},0.034482759,{'VISUALIZATION': 1},0.034482759
irrit,1,{'irritated': 1},{'ANNOYANCE': 1},0.011494253,,0,,,0,,{'irritated': 1},0.034482759,{'ANNOYANCE': 1},0.034482759
necessari,1,{'necessary': 1},{'KEY': 1},0.011494253,,0,,,0,,{'necessary': 1},0.034482759,{'KEY': 1},0.034482759
overwhelm,1,{'overwhelming': 1},{'CLARITY': 1},0.011494253,,0,,,0,,{'overwhelming': 1},0.034482759,{'CLARITY': 1},0.034482759
pleas,1,{'pleasing': 1},{'AESTHETICS': 1},0.011494253,,0,,,0,,{'pleasing': 1},0.034482759,{'AESTHETICS': 1},0.034482759
qualiti,1,{'quality': 1},{'VIS APPEARANCE': 1},0.011494253,,0,,,0,,{'quality': 1},0.034482759,{'VIS APPEARANCE': 1},0.034482759
size,1,{'sized': 1},{'VIS APPEARANCE': 1},0.011494253,,0,,,0,,{'sized': 1},0.034482759,{'VIS APPEARANCE': 1},0.034482759
useless,1,{'useless': 1},{'RELEVANT': 1},0.011494253,,0,,,0,,{'useless': 1},0.034482759,{'RELEVANT': 1},0.034482759
clue,1,{'clue': 1},{'UNDERSTAND': 1},0.011494253,,0,,,0,,{'clue': 1},0.034482759,{'UNDERSTAND': 1},0.034482759
describ,1,{'describe': 1},{'VERBALIZE': 1},0.011494253,,0,,,0,,{'describe': 1},0.034482759,{'VERBALIZE': 1},0.034482759
explain,1,{'explain': 1},{'VERBALIZE': 1},0.011494253,,0,,,0,,{'explain': 1},0.034482759,{'VERBALIZE': 1},0.034482759
form,1,{'form': 1},{'REASON': 1},0.011494253,,0,,,0,,{'form': 1},0.034482759,{'REASON': 1},0.034482759
impact,1,{'impact': 1},{'AFFECT': 1},0.011494253,,0,,,0,,{'impact': 1},0.034482759,{'AFFECT': 1},0.034482759
infer,1,{'infer': 1},{'REASON': 1},0.011494253,,0,,,0,,{'infer': 1},0.034482759,{'REASON': 1},0.034482759
iter,1,{'iterate': 1},{'VERBALIZE': 1},0.011494253,,0,,,0,,{'iterate': 1},0.034482759,{'VERBALIZE': 1},0.034482759
make,1,{'make': 1},{'ACHIEVE': 1},0.011494253,,0,,,0,,{'make': 1},0.034482759,{'ACHIEVE': 1},0.034482759
makesens,1,{'makesense': 3},{'UNDERSTAND': 3},0.034482759,,0,,,0,,{'makesense': 3},0.103448276,{'UNDERSTAND': 3},0.103448276
process,1,{'process': 2},{'REASON': 2},0.022988506,,0,,,0,,{'process': 2},0.068965517,{'REASON': 2},0.068965517
rank,1,{'rank': 1},{'QUERY': 1},0.011494253,,0,,,0,,{'rank': 1},0.034482759,{'QUERY': 1},0.034482759
relat,1,{'relate': 1},{'UNDERSTAND': 1},0.011494253,,0,,,0,,{'relate': 1},0.034482759,{'UNDERSTAND': 1},0.034482759
summar,1,{'summarize': 2},{'VERBALIZE': 2},0.022988506,,0,,,0,,{'summarize': 2},0.068965517,{'VERBALIZE': 2},0.068965517
support,1,{'support': 1},{'SUPPORT': 1},0.011494253,,0,,,0,,{'support': 1},0.034482759,{'SUPPORT': 1},0.034482759
tell,1,{'tells': 1},{'CONVEY': 1},0.011494253,,0,,,0,,{'tells': 1},0.034482759,{'CONVEY': 1},0.034482759
want,1,{'want': 1},{'WANT': 1},0.011494253,,0,,,0,,{'want': 1},0.034482759,{'WANT': 1},0.034482759
consis,1,{'consisely': 1},{'CONCISE': 1},0.011494253,,0,,,0,,{'consisely': 1},0.034482759,{'CONCISE': 1},0.034482759
effort,1,{'effort': 1},{'EASINESS': 1},0.011494253,,0,,,0,,{'effort': 1},0.034482759,{'EASINESS': 1},0.034482759
exact,1,{'exactly': 2},{'ACCURATE': 2},0.022988506,,0,,,0,,{'exactly': 2},0.068965517,{'ACCURATE': 2},0.068965517
explor,1,{'explore': 1},{'SEARCH': 1},0.011494253,,0,,,0,,{'explore': 1},0.034482759,{'SEARCH': 1},0.034482759
immedi,1,{'immediately': 1},{'TIME': 1},0.011494253,,0,,,0,,{'immediately': 1},0.034482759,{'TIME': 1},0.034482759
layout,1,{'layout': 1},{'ENCODINGS': 1},0.011494253,,0,,,0,,{'layout': 1},0.034482759,{'ENCODINGS': 1},0.034482759
long,1,{'long': 1},{'TIME': 1},0.011494253,,0,,,0,,{'long': 1},0.034482759,{'TIME': 1},0.034482759
one,1,{'one': 1},{'CONCISELY': 1},0.011494253,,0,,,0,,{'one': 1},0.034482759,{'CONCISELY': 1},0.034482759
paragraph,1,{'paragraph': 1},{'CONCISELY': 1},0.011494253,,0,,,0,,{'paragraph': 1},0.034482759,{'CONCISELY': 1},0.034482759
rapid,1,{'rapidly': 1},{'TIME': 1},0.011494253,,0,,,0,,{'rapidly': 1},0.034482759,{'TIME': 1},0.034482759
salient,1,{'saliently': 1},{'GUIDANCE': 1},0.011494253,,0,,,0,,{'saliently': 1},0.034482759,{'GUIDANCE': 1},0.034482759
second,1,{'seconds': 1},{'TIME': 1},0.011494253,,0,,,0,,{'seconds': 1},0.034482759,{'TIME': 1},0.034482759
sentenc,1,{'sentence': 1},{'CONCISELY': 1},0.011494253,,0,,,0,,{'sentence': 1},0.034482759,{'CONCISELY': 1},0.034482759
time,1,"{'time': 3, 'timely': 1}",{'TIME': 4},0.045977011,,0,,,0,,"{'time': 3, 'timely': 1}",0.137931034,{'TIME': 4},0.137931034
timespan,1,{'timespan': 1},{'TIME': 1},0.011494253,,0,,,0,,{'timespan': 1},0.034482759,{'TIME': 1},0.034482759
judge,,,,,,,,,,,,,,
guidance,,,,,,,,,,,,,,
